k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
1,1e-06,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,5e-06,4.999987499984374e-06,99.78386,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,2.06663203862525e-06,100,10000000000.0,1e-06,0.00017,2.9152281214340664e-05,0.0,0.0,99.54862,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000185,3.041099924369469e-05,0.0,0.0,100.274295,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,8.826519269759978e-06,100,10000000000.0,1e-06,0.00014,2.645566101990271e-05,0.0,0.0,99.68765,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,1.8241167512429113e-05,100,10000000000.0,1e-06,0.000225,3.353724608550917e-05,0.0,0.0,99.766645,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,3.769778120311598e-05,100,10000000000.0,1e-06,0.000195,3.122194540703703e-05,5e-06,4.999987499984374e-06,99.902255,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,7.79074424194442e-05,100,10000000000.0,1e-06,0.00021,3.240030092452846e-05,5e-06,4.999987499984374e-06,99.984755,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.00016100601655137526,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,0.0,0.0,99.79681,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.000332740192216499,100,10000000000.0,1e-06,0.000175,2.9577810517345597e-05,0.0,0.0,99.90531,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.0006876515417729402,100,10000000000.0,1e-06,0.000235,3.427424506827248e-05,5e-06,4.999987499984374e-06,99.950765,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.0014211227076380076,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,5e-06,4.999987499984373e-06,100.154425,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.0029369377184225672,100,10000000000.0,1e-06,0.000225,3.353724608550917e-05,0.0,0.0,100.147,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.006069569584339014,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,0.0,0.0,99.85645,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.012543566963660348,100,10000000000.0,1e-06,0.000145,2.6923871842660365e-05,0.0,0.0,99.919025,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.02592293736574172,100,10000000000.0,1e-06,0.000185,3.0410999243694697e-05,0.0,0.0,99.80376,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.05357317289531737,100,10000000000.0,1e-06,0.00012,2.4493427689892647e-05,5e-06,4.9999874999843735e-06,100.108495,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.11071603551627271,100,10000000000.0,1e-06,0.000185,3.04109992436947e-05,0.0,0.0,100.40542,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.22880930618750026,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,0.0,0.0,100.180075,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.4728646429027017,100,10000000000.0,1e-06,0.00027,3.6737385590158704e-05,0.0,0.0,100.04507,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
1,0.9772372209558107,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,0.0,0.0,99.81697,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00020003939999980184
2,1e-06,100,10000000000.0,1e-06,0.00019,3.0819141779095657e-05,5e-06,4.9999874999843735e-06,101.244305,1.999295,101.00019999940184,2.00019999959996,0.9801960788234894,0.00020200039999880367,4.00039999919992e-06,4.000404161199915e-06,0.00020203980616080366
2,2.06663203862525e-06,100,10000000000.0,1e-06,0.000185,3.04109992436947e-05,0.0,0.0,100.96114,2.000515,101.00041332515531,2.000413325353448,0.9801940085243669,0.0002020008266503106,4.000826650706896e-06,4.000830985501276e-06,0.00020204023298510496
2,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000205,3.201233941779326e-05,0.0,0.0,100.831,2.00696,101.00085418955003,2.0008541897482086,0.9801897300195781,0.00020200170837910005,4.001708379496417e-06,4.001713071393192e-06,0.0002020411150709968
2,8.826519269759978e-06,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,5e-06,4.999987499984374e-06,101.04946,2.00176,101.00176528787384,2.0017652880721073,0.9801808881026316,0.00020200353057574767,4.003530576144215e-06,4.0035360060401776e-06,0.00020204293800564363
