k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
1,1e-06,100,10000000000.0,1e-06,0.00018,2.9997299878489073e-05,0.0,0.0,99.9602,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,2.06663203862525e-06,100,10000000000.0,1e-06,0.00015,2.7384073838638397e-05,0.0,0.0,100.07467,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000175,2.9577810517345594e-05,5e-06,4.9999874999843735e-06,99.974965,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,8.826519269759978e-06,100,10000000000.0,1e-06,0.00016,2.8282008415245197e-05,1e-05,7.0710324564380276e-06,99.91482,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,1.8241167512429113e-05,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,0.0,0.0,100.409135,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,3.769778120311598e-05,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,1e-05,7.0710324564380276e-06,99.91757,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,7.79074424194442e-05,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,0.0,0.0,99.96133,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.00016100601655137526,100,10000000000.0,1e-06,0.000205,3.201233941779327e-05,0.0,0.0,100.321505,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.000332740192216499,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,0.0,0.0,99.960075,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.0006876515417729402,100,10000000000.0,1e-06,0.00022,3.316259941560674e-05,0.0,0.0,99.820515,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.0014211227076380076,100,10000000000.0,1e-06,0.00021,3.240030092452846e-05,0.0,0.0,99.995745,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.0029369377184225672,100,10000000000.0,1e-06,0.000195,3.122194540703703e-05,0.0,0.0,99.92549,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.006069569584339014,100,10000000000.0,1e-06,0.00016,2.8282008415245197e-05,0.0,0.0,99.955235,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.012543566963660348,100,10000000000.0,1e-06,0.00013,2.5493440332760114e-05,0.0,0.0,99.799595,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.02592293736574172,100,10000000000.0,1e-06,0.000185,3.0410999243694697e-05,5e-06,4.999987499984374e-06,100.10543,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.05357317289531737,100,10000000000.0,1e-06,0.000205,3.201233941779326e-05,0.0,0.0,99.979365,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.11071603551627271,100,10000000000.0,1e-06,0.00018,2.9997299878489066e-05,5e-06,4.999987499984374e-06,99.86573,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.22880930618750026,100,10000000000.0,1e-06,0.000165,2.8720443502843062e-05,0.0,0.0,99.84673,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.4728646429027017,100,10000000000.0,1e-06,0.000215,3.278366780883433e-05,0.0,0.0,99.929205,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
1,0.9772372209558107,100,10000000000.0,1e-06,0.000215,3.278366780883433e-05,0.0,0.0,99.925645,1.0,99.99999999990092,1.0,0.9899999999999901,0.00019999999999980184,2e-06,1.999998e-06,0.00019996059995980184
2,1e-06,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,0.0,0.0,101.320075,2.002485,101.00019999940184,2.00019999959996,0.9801960788234894,0.00020200039999880367,4.00039999919992e-06,4.000403997999759e-06,0.00020196100975999567
2,2.06663203862525e-06,100,10000000000.0,1e-06,0.00017,2.9152281214340664e-05,1.5e-05,8.660189085695532e-06,101.06041,2.00111,101.00041332515531,2.000413325353448,0.9801940085243669,0.0002020008266503106,4.000826650706896e-06,4.000830648226257e-06,0.00020196143624211287
2,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000225,3.353724608550917e-05,0.0,0.0,101.00999,2.003405,101.00085418955003,2.0008541897482086,0.9801897300195781,0.00020200170837910005,4.001708379496417e-06,4.001712374368356e-06,0.00020196231762083613
2,8.826519269759978e-06,100,10000000000.0,1e-06,0.000175,2.9577810517345594e-05,0.0,0.0,100.930495,2.002315,101.00176528787384,2.0017652880721073,0.9801808881026316,0.00020200353057574767,4.003530576144215e-06,4.003534565540018e-06,0.0002019641390940257
2,1.8241167512429113e-05,100,10000000000.0,1e-06,0.00016,2.828200841524519e-05,5e-06,4.9999874999843735e-06,101.618965,2.00319,101.00364816655525,2.0036481667537105,0.9801626158745307,0.00020200729633311048,4.007296333507421e-06,4.007300311565181e-06,0.00020196790335626674
2,3.769778120311598e-05,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,0.0,0.0,101.125405,2.002575,101.00753927161571,2.007539271814559,0.9801248571513443,0.0002020150785432314,4.015078543629117e-06,4.015082498166121e-06,0.0002019756824765205
2,7.79074424194442e-05,100,10000000000.0,1e-06,0.000155,2.783666422184957e-05,0.0,0.0,100.945525,2.02476,101.01558027416718,2.0155802743668247,0.9800468376373592,0.00020203116054833434,4.031160548733649e-06,4.03116445428102e-06,0.00020199175809600215
2,0.00016100601655137526,100,10000000000.0,1e-06,0.00022,3.3908081632554796e-05,0.0,0.0,101.187515,2.04249,101.03219601831503,2.0321960185162973,0.9798856592392795,0.00020206439203663006,4.064392037032594e-06,4.064395839710145e-06,0.00020202497638755702
2,0.000332740192216499,100,10000000000.0,1e-06,0.00016,2.8282008415245197e-05,1e-05,7.0710324564380276e-06,100.99465,2.07009,101.06652589481808,2.066525895022754,0.9795528155665167,0.00020213305178963615,4.133051790045508e-06,4.133055373187356e-06,0.00020209360886771154
2,0.0006876515417729402,100,10000000000.0,1e-06,0.000205,3.201233941779326e-05,0.0,0.0,101.23377,2.14865,101.13743573498654,2.1374357351982267,0.9788660279977929,0.00020227487146997307,4.274871470396453e-06,4.274874570227713e-06,0.0002022353721849474
2,0.0014211227076380076,100,10000000000.0,1e-06,0.000235,3.427424506827248e-05,0.0,0.0,101.0205,2.26947,101.28382062309397,2.283820623320156,0.9774512788985429,0.00020256764124618794,4.567641246640311e-06,4.567643221499983e-06,0.00020252802547904346
2,0.0029369377184225672,100,10000000000.0,1e-06,0.000265,3.6395726054030035e-05,1e-05,7.071032456438029e-06,101.96057,2.577455,101.58566242247741,2.5856624227334875,0.9745469748281981,0.00020317132484495482,5.1713248454669745e-06,5.17132395949054e-06,0.00020313146835356267
2,0.006069569584339014,100,10000000000.0,1e-06,0.00019,3.0819141779095657e-05,0.0,0.0,102.23039,3.223395,102.20654598111726,3.206545981434797,0.9686268041772275,0.0002044130919622345,6.4130919628695944e-06,6.413082900580879e-06,0.0002043727380134505
2,0.012543566963660348,100,10000000000.0,1e-06,0.000175,2.9577810517345597e-05,0.0,0.0,103.70439,4.43805,103.47724517714784,4.477245177591161,0.9567320798893869,0.00020695449035429566,8.954490355182322e-06,8.95445494473657e-06,0.00020691310869556018
2,0.02592293736574172,100,10000000000.0,1e-06,0.00025,3.535091936569684e-05,1.5e-05,8.660189085695532e-06,106.040125,7.10757,106.050187734871,7.050187735569064,0.9335202710513368,0.000212100375469742,1.4100375471138126e-05,1.4100247152427043e-05,0.00021205687332108802
2,0.05357317289531737,100,10000000000.0,1e-06,0.000215,3.278366780883434e-05,2.5e-05,1.1180200132376882e-05,110.79763,12.234005,111.1406176046959,12.140617605897917,0.8907634502349125,0.0002222812352093918,2.4281235211795835e-05,2.4280767039588463e-05,0.00022223338174488696
2,0.11071603551627271,100,10000000000.0,1e-06,0.000315,3.968001858618517e-05,3.5e-05,1.3228525050057545e-05,120.71887,22.073675,120.69159899245336,21.691598994600945,0.8202725030102775,0.00024138319798490672,4.3383197989201885e-05,4.338153280332402e-05,0.0002413266209513588
2,0.22880930618750026,100,10000000000.0,1e-06,0.000295,3.840006347651003e-05,8.5e-05,2.0614651949523677e-05,135.80265,37.314185,136.29112150563273,37.29112150932468,0.7263862744882946,0.00027258224301126546,7.458224301864936e-05,7.457705341889068e-05,0.0002725098485161161
2,0.4728646429027017,100,10000000000.0,1e-06,0.00036,4.2418769430524495e-05,0.0001,2.23595617130569e-05,151.06817,51.894695,150.85273446115127,51.85273446628482,0.656269177675143,0.0003017054689223025,0.00010370546893256964,0.00010369523263562766,0.00030161655259649736
2,0.9772372209558107,100,10000000000.0,1e-06,0.000215,3.278366780883433e-05,1e-05,7.0710324564380276e-06,105.17092,6.51985,105.44892698511792,6.448926985756467,0.9388431236795173,0.00021089785397023584,1.2897853971512933e-05,1.289775210614571e-05,0.00021085485209244696
5,1e-06,100,10000000000.0,1e-06,0.000185,3.04109992436947e-05,5e-06,4.999987499984374e-06,104.31253,5.008435,104.00079999670444,5.0007999971995964,0.9519157545195993,0.00020800159999340888,1.0001599994399192e-05,1.0001669989596568e-05,0.00020796228715817486
5,2.06663203862525e-06,100,10000000000.0,1e-06,0.000155,2.783666422184957e-05,1e-05,7.071032456438029e-06,104.023245,5.00743,104.00165329971803,5.001653300213292,0.9519079443304691,0.00020800330659943606,1.0003306600426583e-05,1.0003376590495769e-05,0.00020796399308663693
5,4.2709679830723475e-06,100,10000000000.0,1e-06,0.00018,2.9997299878489066e-05,0.0,0.0,103.980445,5.018535,104.00341675729638,5.003416757791799,0.9518918040022875,0.00020800683351459274,1.0006833515583597e-05,1.0006903495036272e-05,0.000207967518601502
