m,k,piT,piT_se,piS,piS_se,FST,FST_se,num_replicates
0.0001,1,0.00020129422709799015,2.6045035218489524e-05,1.9908061999999446e-06,1.9925245180281933e-08,0.9901099687323331,0.0010659295701816811,100000
0.001,1,0.0001729430212719901,2.2861634381724337e-05,1.9858115999999448e-06,1.9780451656009012e-08,0.9885175384043,0.0010873006109149296,100000
0.01,1,0.00019675223894799018,2.6187183310231152e-05,2.0023947999999444e-06,2.000563807792334e-08,0.9898227597779496,0.0009964392338366133,100000
0.1,1,0.00021824482133599033,2.7614319656386108e-05,1.9692267999999453e-06,1.9816140375355377e-08,0.9909769826933565,0.0011304747016467284,100000
0.4,1,0.00022617467514799021,2.7607386634661084e-05,1.9888081999999445e-06,1.988713381603844e-08,0.9912067600022034,0.0011279292509603406,100000
0.8,1,0.0001780772130259902,2.403662959079298e-05,1.9956011999999446e-06,1.9968481830831048e-08,0.9887936184192826,0.0009888078791235148,100000
0.0001,2,0.00018540131856599026,2.4455081609442767e-05,3.7834853999999376e-06,3.1663057703971407e-07,0.979592996267428,0.0010386411536459327,100000
0.001,2,0.00024066204027999025,2.9008957432360445e-05,4.79427379999994e-06,4.844740532925461e-07,0.9800788117875914,0.0010940714032248295,100000
0.01,2,0.00021584627008199014,2.6755722001111757e-05,8.462525799999934e-06,8.695422682156192e-07,0.9607937362235381,0.0010182561113812952,100000
0.1,2,0.00022581163213399017,2.6305038937030154e-05,3.8077708999999926e-05,4.333160046362402e-06,0.8313740145263833,0.0009802594648799998,100000
0.4,2,0.00029389080215999,3.149627434339137e-05,9.997851599999994e-05,1.0740534623793033e-05,0.6598106668694822,0.0009050378494572661,100000
0.8,2,0.00024541559476599017,2.8934921320818425e-05,6.258407059999992e-05,7.105309922425304e-06,0.7449873930803974,0.0008804265384366352,100000
0.0001,5,0.00018677494531999016,2.2946245960587723e-05,8.706659399999882e-06,8.155155651288864e-07,0.9533842219303917,0.0010581687474890684,100000
0.001,5,0.0002216301614899902,2.672498581481634e-05,1.1930714399999868e-05,1.0837468857220912e-06,0.946168363007132,0.0010519155266366332,100000
0.01,5,0.00023755101460999007,2.7856296415422703e-05,2.4925099799999834e-05,2.4415625267756512e-06,0.8950747491400037,0.000999092407760061,100000
0.1,5,0.0003024158262439901,3.0591294523201054e-05,0.0001342552481999998,1.3242764101064117e-05,0.5560574660808848,0.0007714717529776872,100000
0.4,5,0.0005814897361239899,4.3031746230268986e-05,0.00038631883719999967,2.8472392806741582e-05,0.3356394563813493,0.000626857098502558,100000
0.8,5,0.0005082481187899901,4.114624191300985e-05,0.00028938759279999973,2.3430157721224486e-05,0.4306174836633764,0.0007693712555672342,100000
0.0001,10,0.00021099738413428695,2.5437289732515134e-05,1.7559907044062132e-05,1.4316033544319954e-06,0.9167766599756216,0.0009988318177509886,98111
0.001,10,0.00021227306962398853,2.6729326674458136e-05,2.284129813026482e-05,1.8046161583068144e-06,0.8923966277459269,0.000962050231083469,97340
0.01,10,0.0002681317539844094,2.967354196538833e-05,5.700364825935216e-05,5.2486613099216044e-06,0.787404336068802,0.0009238627695725972,98584
0.1,10,0.0005123045768226306,4.220073567288988e-05,0.00032230793920113085,2.6432586248587192e-05,0.3708665630119484,0.0007034162934876208,90528
0.4,10,0.0010746070622805399,6.086535942622642e-05,0.0008773678754917602,4.968756190984207e-05,0.18354540344281478,0.0004569616405198553,98371
0.8,10,0.0007981263940291268,5.459391197247261e-05,0.0005994671235051094,4.0867477240957236e-05,0.24890703027767258,0.0005661306289935847,91980
