count,occurrences
1,9902
172,1
175,1
180,4
184,2
185,1
187,1
190,1
191,3
192,1
193,2
195,4
196,1
198,7
199,5
202,1
203,3
204,2
205,1
206,2
208,3
209,3
210,4
211,2
213,2
217,1
221,1
223,1
253,1
378,1
383,1
389,1
392,1
398,1
406,1
407,1
411,1
415,1
418,1
555,1
563,1
567,1
584,1
586,1
596,1
597,1
599,1
601,1
602,1
604,1
617,1
629,1
781,1
787,1
793,1
801,1
803,1
804,1
806,1
810,1
965,1
968,1
990,1
998,1
1000,5
1001,1
1184,1
1587,1
1612,1
1636,1
1640,1
1754,1
1812,1
1937,1
2000,4
2004,1
2010,1
2366,1
2410,1
2565,1
2681,1
2802,1
3000,5
3240,1
3355,1
3383,1
3561,1
3607,1
3786,1
3955,1
3971,1
4000,6
4610,1
4802,1
5000,5
5596,1
6000,4
6210,1
7000,2
8000,3
9000,1
10000,2
11000,3
12829,1
13000,5
16000,1
17000,1
17386,1
18388,1
20000,1
22000,1
22574,1
23000,1
24219,1
25000,1
26379,1
26395,1
28000,1
28801,1
29000,1
30779,1
32000,1
32198,1
33170,1
33817,1
34000,1
36000,1
37000,3
38000,1
39000,1
39812,1
40195,1
43158,1
44571,1
44801,1
45000,3
55000,3
55199,1
55428,1
56842,1
59804,1
60188,1
61000,1
62000,1
62999,1
63000,2
64000,1
66000,1
66183,1
66829,1
67802,1
68000,1
69221,1
71000,1
71199,1
72000,1
73604,1
73620,1
75000,1
75781,1
77000,1
77426,1
78000,1
80000,1
81612,1
82614,1
83000,1
84000,1
87000,5
87171,1
89000,3
89999,1
90000,1
91000,1
91999,1
92000,2
93000,2
93790,1
94000,4
94404,1
95000,5
95198,1
95390,1
96000,6
96029,1
96045,1
96214,1
96393,1
96439,1
96617,1
96645,1
96760,1
96999,1
97000,4
97198,1
97319,1
97435,1
97590,1
97634,1
97990,1
97996,1
97999,1
98000,3
98063,1
98187,1
98245,1
98360,1
98364,1
98388,1
98413,1
98816,1
98999,2
99000,4
99002,1
99010,1
99031,1
99035,1
99190,1
99194,1
99196,1
99197,1
99199,1
99207,1
99213,1
99219,1
99371,1
99383,1
99396,1
99398,1
99399,1
99401,1
99403,2
99414,1
99416,1
99433,1
99437,1
99445,1
99582,1
99585,1
99589,1
99593,1
99594,1
99602,1
99608,1
99611,1
99616,1
99622,1
99747,1
99777,1
99779,1
99783,1
99787,2
99789,3
99790,4
99791,3
99792,2
99793,1
99794,1
99795,1
99796,3
99797,2
99798,1
99801,5
99802,7
99803,1
99805,4
99807,2
99808,1
99809,3
99810,1
99813,1
99815,1
99816,2
99820,4
99824,1
99828,1
99997,14
99998,429
99999,8979
