k,m,d,N,u,empirical_pi,empirical_pi_se,empirical_T,exact_T,exact_pi
10,1e-06,100,1000,1e-06,4.07e-05,2.0173830451850366e-06,18.8321372,18.8340931579782,3.7668186315956396e-05
10,2.151680469136847e-06,100,1000,1e-06,3.78e-05,1.9441854633753316e-06,18.8317048,18.838202213103937,3.767640442620787e-05
10,4.629728841264972e-06,100,1000,1e-06,3.8e-05,1.9493218307914264e-06,18.8573604,18.8470435546727,3.76940871093454e-05
10,9.961697125149406e-06,100,1000,1e-06,3.58e-05,1.8920549241499397e-06,18.8684484,18.86606714807043,3.773213429614086e-05
10,2.1434389143640697e-05,100,1000,1e-06,3.8e-05,1.949321830791422e-06,18.9093573,18.906999154567067,3.7813998309134136e-05
10,4.611995648825056e-05,100,1000,1e-06,3.63e-05,1.9052213076175517e-06,18.9991532,18.995068568856603,3.79901371377132e-05
10,9.923540961320994e-05,100,1000,1e-06,3.83e-05,1.957001101430425e-06,19.1820646,19.184551063437148,3.836910212687429e-05
10,0.00021352289271153916,100,1000,1e-06,3.97e-05,1.9924463332797907e-06,19.5929002,19.592188585202162,3.918437717040432e-05
10,0.0004594330379610217,100,1000,1e-06,4.34e-05,2.083221458222827e-06,20.4722593,20.46897824903939,4.0937956498078785e-05
10,0.000988553094656939,100,1000,1e-06,4.41e-05,2.0999536944894895e-06,22.3531476,22.354086309979724,4.4708172619959443e-05
10,0.002127050386478127,100,1000,1e-06,5.39e-05,2.3215747842790033e-06,26.42942,26.403462591945928,5.2806925183891855e-05
10,0.004576732773454973,100,1000,1e-06,7.53e-05,2.743981230074264e-06,35.1092089,35.08506506052655,7.017013012105311e-05
10,0.009847666521101578,100,1000,1e-06,0.0001096,3.310407646197063e-06,53.6191737,53.61990480345561,0.00010723980960691122
10,0.02118903172002711,100,1000,1e-06,0.0001863,4.318162714743402e-06,92.7611171,92.82874525001118,0.00018565749050002234
10,0.04559202571190347,100,1000,1e-06,0.0003486,5.903206569653492e-06,174.2263925,174.08148112210012,0.00034816296224420023
10,0.09809947127268784,100,1000,1e-06,0.0006576,8.112752690918146e-06,334.2393452,334.5029475038108,0.0006690058950076216
10,0.21107871637009362,100,1000,1e-06,0.0012214,1.1060326315439356e-05,613.1227873,612.9714278655402,0.0012259428557310804
10,0.4541739514640065,100,1000,1e-06,0.0018124,1.3474105559331197e-05,903.0533904,903.3101127770827,0.0018066202255541653
10,0.9772372209558107,100,1000,1e-06,0.0001935,4.39843787895202e-06,98.1702499,98.19691354187225,0.00019639382708374448
